Asparagus,50,60,85,95
Bean (lima),60,75,85,85
Bean (snap),60,75,85,95
Beet,40,60,85,95
Broccoli,40,60,85,95
Brussels sprouts,40,60,85,95
Cabbage,40,60,85,95
Carrot,40,65,85,95
Cauliflower,40,65,85,95
Celery,40,60,70,95
Chinese cabbage,40,60,85,95
Collards,40,60,85,95
Corn,50,65,95,105
Cucumber,60,65,95,105
Eggplant,60,75,85,95
Endive,35,60,75,85
Garlic,35,65,85,95
Kale,40,60,85,95
Kohlrabi,40,60,95,105
Leeks,35,65,85,95
Lettuce,35,60,75,85
Muskmelon,60,75,95,105
Mustard,35,60,75,85
Okra,60,85,95,105
Onion,35,65,85,95
Parsley,40,65,85,95
Parsnip,35,65,75,85
Pea,40,65,75,85
Pepper,60,65,75,95
Pumpkin,60,85,95,105
Radicchio,35,60,75,85
Radish,40,65,85,95
Spinach,35,65,75,75
Squash,60,85,95,105
Swiss chard,40,65,85,95
Tomato,50,65,85,95
Turnip,40,60,95,105
Watermelon,60,70,95,105
